,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
join,216,156,177,318,218,276,245,269,294,310,481,366,382,400,410,412,439,459,511,511,540,564,588,579,618,637,676,700,728,737,755,810,844,826,869,1014,966,993,1399,1136,1049,1104,1093,1186,1251,1227,1239,1311,1286,1348,1343,1355,1415,1452,1588,1547,1566,1622,1579,1626,1629,1715,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,281,505,688,976,1293,1433,1586,1811,2042,2257,2674,2794,2887,3143,3387,3764,3843,4037,4318,4514,4882,5228,5268,5519,6087,6114,6425,6509,6878,7359,7456,7671,7688,8072,8392,8734,8951,9351,9658,9804,10157,10305,11100,11150,11198,11854,11900,12642,13133,13159,13782,14551,14381,15078,16702,16153,16290,16364,17070,18458,18636,19712,21146,21512,22041,25138,23827,27236,28630,31327,31657,33764,33929,33517,34939,36894,37840,38878,40564,44524,45035,46287,49731,52468,53165,52915,51866,56189,58888,61543,59031,63090,62807,60849,68044,66054,67755,69636,71949,72506
