,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
join,16,21,19,19,24,29,37,35,31,38,42,44,46,62,68,57,58,77,80,79,109,81,86,89,95,162,207,136,311,157,351,182,178,161,167,194,182,213,184,260,213,208,234,294,303,388,292,252,329,393,414,317,342,389,378,433,427,483,469,499,502,1090,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case,14,15,14,19,22,21,25,26,33,36,36,41,46,50,55,59,69,100,108,85,87,100,98,110,122,143,142,159,163,199,185,200,213,224,244,256,358,298,355,350,341,395,377,408,437,460,520,650,628,615,623,661,688,790,781,879,782,848,957,918,1074,1043,1121,1191,1269,1331,1508,1333,1485,1555,1458,1680,1705,1788,1704,1818,1867,1912,2068,2119,2175,2216,2185,2271,2358,2436,2421,2447,2785,2866,2904,3052,2945,2958,3252,3223,3315,3313,3250,3367
